run_id,n_valid_planned_rows,mean_deviation_m,median_deviation_m,p90_deviation_m,p95_deviation_m,max_deviation_m,rows_above_0_25m,share_above_0_25m,rows_above_0_5m,share_above_0_5m,rows_above_1_0m,share_above_1_0m
dataset1,383,1.4229168925939635,0.9415589037723029,3.7508742332163956,4.491384159124437,6.767576145424948,307,0.8015665796344648,247,0.6449086161879896,179,0.46736292428198434
dataset2,202,1.8287619660802024,1.1693208123296293,4.56808148470389,4.90328327900961,8.679916661731056,170,0.8415841584158416,140,0.693069306930693,109,0.5396039603960396
dataset3,326,1.390643936359007,0.9594030334149526,3.22294524654067,4.332719193009128,7.4280446926114525,275,0.843558282208589,222,0.6809815950920245,161,0.4938650306748466
combined,911,1.5013578597856478,0.9697664114189094,3.8225904600047826,4.588270304784288,8.679916661731056,752,0.8254665203073546,609,0.6684961580680571,449,0.49286498353457736
