model,mean_inference_time_ms_per_sample,suitable_for_1Hz,binary_accuracy,binary_macro_f1
RandomForest,10.596501417981926,Yes,0.8760330578512396,0.8348118226711687
ExtraTrees,11.168571084010182,Yes,0.8797061524334252,0.8452260706826873
HistGradientBoosting,4.410150834009983,Yes,0.8760330578512396,0.8318977493748263
MLP,0.03488966799341142,Yes,0.837465564738292,0.7927130774235525
