task,model,train_runs,test_run,accuracy,balanced_accuracy,macro_f1,risk_f1,non_risk_precision,non_risk_recall,risk_precision,risk_recall,non_risk_support,risk_support,roc_auc,pr_auc,n_train,n_test
binary_risk,ExtraTrees,dataset2+dataset3,dataset1,0.8891369047619048,0.8394097422525786,0.8364144761294823,0.7435456110154905,0.9323809523809524,0.9262062440870388,0.7346938775510204,0.7526132404181185,1057.0,287.0,0.9392732702837232,0.8072708037249785,1935,1344
multiclass,ExtraTrees,dataset2+dataset3,dataset1,0.8242009132420092,,0.4750936312186325,,,,,,,,,,1779,1314
binary_risk,ExtraTrees,dataset1+dataset3,dataset2,0.859338061465721,0.8756965453833873,0.8517832561631835,0.8183206106870229,0.95625,0.8240574506283662,0.73224043715847,0.9273356401384083,557.0,289.0,0.9400334217539588,0.8906056799859643,2433,846
multiclass,ExtraTrees,dataset1+dataset3,dataset2,0.7411347517730497,,0.48593387035034635,,,,,,,,,,2403,846
binary_risk,ExtraTrees,dataset1+dataset2,dataset3,0.8797061524334252,0.8383838383838385,0.8452260706826873,0.7721739130434783,0.9075215782983971,0.9292929292929293,0.7985611510791367,0.7474747474747475,792.0,297.0,0.9390920994456348,0.874172996188899,2190,1089
multiclass,ExtraTrees,dataset1+dataset2,dataset3,0.743801652892562,,0.3836758084133249,,,,,,,,,,2160,1089
