task,model,accuracy,accuracy,macro_f1,macro_f1
,,mean,std,mean,std
binary_risk,ExtraTrees,0.876060372887017,0.01523028387205522,0.8444746009917843,0.00771189859589276
multiclass,ExtraTrees,0.7697124393025403,0.04720723921798908,0.44823443666076795,0.056171523541754205
