task,model,feature_set,n_features,accuracy,balanced_accuracy,macro_f1,risk_f1,non_risk_precision,non_risk_recall,risk_precision,risk_recall,non_risk_support,risk_support,roc_auc,pr_auc,n_train,n_test
binary_risk,ExtraTrees,Live spatial only,10,0.852157943067034,0.8131313131313131,0.8134609348817168,0.7284991568296796,0.8978562421185372,0.898989898989899,0.7297297297297297,0.7272727272727273,792.0,297.0,0.9110039791857973,0.7816142317397059,2190,1089
binary_risk,ExtraTrees,Live + graph relations,12,0.8640955004591369,0.8244949494949495,0.8272377244584699,0.7474402730375427,0.9025,0.9116161616161617,0.7577854671280276,0.7373737373737373,792.0,297.0,0.9232986429956127,0.8521440247428765,2190,1089
binary_risk,ExtraTrees,Live + trajectory prior,21,0.8650137741046832,0.8251262626262625,0.8282196146602927,0.7487179487179487,0.9026217228464419,0.9128787878787878,0.7604166666666666,0.7373737373737373,792.0,297.0,0.9328895010713193,0.8614912195883776,2190,1089
binary_risk,ExtraTrees,Full event-free knowledge,24,0.8797061524334252,0.8383838383838385,0.8452260706826873,0.7721739130434783,0.9075215782983971,0.9292929292929293,0.7985611510791367,0.7474747474747475,792.0,297.0,0.9390920994456348,0.874172996188899,2190,1089
multiclass,ExtraTrees,Live spatial only,10,0.6841138659320477,,0.3041561904345072,,,,,,,,,,2160,1089
multiclass,ExtraTrees,Live + graph relations,12,0.6767676767676768,,0.31122695857932575,,,,,,,,,,2160,1089
multiclass,ExtraTrees,Live + trajectory prior,21,0.7180899908172635,,0.3532820510840251,,,,,,,,,,2160,1089
multiclass,ExtraTrees,Full event-free knowledge,24,0.743801652892562,,0.3836758084133249,,,,,,,,,,2160,1089
