local_time,command,value,ok,block_readback,release_readback,label
2026-05-19 16:44:56,SEND_DEST,2,True,True,True,2,0,-0.23483404517173767,V99_series_idx4,0-1-0,uint32,uint32
2026-05-19 16:44:59,BRAKE_OFF,,True,False,True,
2026-05-19 16:45:02,SEND_DEST,2,True,True,True,2,0,-0.29907307028770447,V99_series_auto_resend1_idx4,0-1-0,uint32,uint32
2026-05-19 16:45:19,BRAKE_OFF,,True,False,True,
2026-05-19 16:45:22,SEND_DEST,1,True,True,True,1,0,-0.09912378340959549,V99_series_idx5,0-1-0,uint32,uint32
2026-05-19 16:45:25,BRAKE_OFF,,True,False,True,
2026-05-19 16:45:29,SEND_DEST,1,True,True,True,1,0,0.24121540784835815,V99_series_auto_resend1_idx5,0-1-0,uint32,uint32
2026-05-19 16:45:31,BRAKE_OFF,,True,False,True,
2026-05-19 16:45:34,SEND_DEST,1,True,True,True,1,0,0.29822221398353577,V99_series_auto_resend2_idx5,0-1-0,uint32,uint32
2026-05-19 16:46:01,BRAKE_OFF,,True,False,True,
2026-05-19 16:46:04,SEND_DEST,6,True,True,True,6,1,0.0,V99_series_idx0,0-1-0,uint32,uint32
2026-05-19 16:46:07,BRAKE_OFF,,True,False,True,
2026-05-19 16:46:10,SEND_DEST,6,True,True,True,6,0,-0.24929845333099365,V99_series_auto_resend1_idx0,0-1-0,uint32,uint32
2026-05-19 16:47:05,BRAKE_OFF,,True,False,True,
2026-05-19 16:47:08,SEND_DEST,6,True,True,True,6,0,0.0,V141 instant resume original goal after operator clear,0-1-0,uint32,uint32
2026-05-19 16:47:09,BRAKE_OFF,,True,False,True,
2026-05-19 16:47:12,SEND_DEST,6,True,True,True,6,0,-0.2790781557559967,V141 instant resume second pulse after operator clear,0-1-0,uint32,uint32
2026-05-19 16:47:58,BRAKE_OFF,,True,False,True,
2026-05-19 16:48:01,SEND_DEST,5,True,True,True,5,0,0.27865272760391235,V99_series_idx1,0-1-0,uint32,uint32
2026-05-19 16:48:04,BRAKE_OFF,,True,False,True,
2026-05-19 16:48:07,SEND_DEST,5,True,True,True,5,0,0.16293740272521973,V99_series_auto_resend1_idx1,0-1-0,uint32,uint32
2026-05-19 16:49:40,BRAKE_OFF,,True,False,True,
2026-05-19 16:49:43,SEND_DEST,4,True,True,True,4,0,-0.2943934202194214,V99_series_idx2,0-1-0,uint32,uint32
2026-05-19 16:50:35,BRAKE_OFF,,True,False,True,
2026-05-19 16:50:38,SEND_DEST,4,True,True,True,4,0,0.0,V141 instant resume original goal after operator clear,0-1-0,uint32,uint32
2026-05-19 16:50:39,BRAKE_OFF,,True,False,True,
2026-05-19 16:50:42,SEND_DEST,4,True,True,True,4,0,-0.2986476421356201,V141 instant resume second pulse after operator clear,0-1-0,uint32,uint32
2026-05-19 16:51:19,BRAKE_OFF,,True,False,True,
