local_time,action,sim,real_start,real_goal,real_route,sim_route,conflict_count,first_conflict,horizon_s,hold_s
2026-05-19 16:11:47,sim_hold,SIM1,20,4,20->22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:49,sim_hold,SIM1,20,4,20->22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:51,sim_hold,SIM1,20,4,20->22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:53,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:55,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:57,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:11:59,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:12:01,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:12:03,sim_hold,SIM1,22,4,22->19->17->18->4,4->18->19->22->20->23->25->26->29->5,1,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 13.591607093811035, ""b_exit_s"": 27.73046588897705, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 16:12:05,sim_hold,SIM1,19,4,19->17->18->4,4->18->19->22->20->23->25->26->29->5,2,"{""type"": ""future_coordinate_distance"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""t_s"": 1.0, ""distance_m"": 0.8795589953075695, ""edge_a"": ""19->17"", ""edge_b"": ""4->18"", ""severity"": 0.8}",10.0,0.35
