local_time,command,level,dt_ms,speed,results,reason
2026-05-19 16:12:41,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1663,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 16:12:43,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1653,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 16:13:03,V141_SAFETY_RELEASE_CHAIN,False,798,"[('brake_block_false', True), ('brake_release_true', True), ('mc_forward_false', True), ('mc_backward_false', True), ('mc_rotate_left_false', True), ('mc_rotate_right_false', True), ('mc_turn_left_false', True), ('mc_turn_right_false', True), ('mc_enable_false', True), ('manual_mode_false', False), ('auto_mode_true', False)]",clear
2026-05-19 16:15:12,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1547,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: V141 CHAIN operator/SIM safety stop: OP2 live close 0.42m (limit 0.50m)
2026-05-19 16:15:14,V141_SAFETY_RELEASE_CHAIN,False,803,"[('brake_block_false', True), ('brake_release_true', True), ('mc_forward_false', True), ('mc_backward_false', True), ('mc_rotate_left_false', True), ('mc_rotate_right_false', True), ('mc_turn_left_false', True), ('mc_turn_right_false', True), ('mc_enable_false', True), ('manual_mode_false', False), ('auto_mode_true', False)]",clear
2026-05-19 16:15:44,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,2027,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: V141 CHAIN operator/SIM safety stop: OP1 live close 0.30m (limit 0.50m)
2026-05-19 16:15:46,V141_SAFETY_RELEASE_CHAIN,False,809,"[('brake_block_false', True), ('brake_release_true', True), ('mc_forward_false', True), ('mc_backward_false', True), ('mc_rotate_left_false', True), ('mc_rotate_right_false', True), ('mc_turn_left_false', True), ('mc_turn_right_false', True), ('mc_enable_false', True), ('manual_mode_false', False), ('auto_mode_true', False)]",clear
2026-05-19 16:16:00,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1961,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 16:16:02,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1640,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 16:16:05,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1726,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
