prediction_horizon_s,model,mae_m,rmse_m,r2,n_train,n_test
1,RandomForestRegressor,0.2656566438366511,0.5631865203281692,0.9941577027858944,2190,1089
1,ExtraTreesRegressor,0.2761620224271967,0.5784937714821048,0.9938358028754029,2190,1089
1,MLPRegressor,0.304800431942664,0.4637013737701143,0.9960394462745408,2190,1089
3,MLPRegressor,0.410652883743096,0.6496199820864196,0.992284938407499,2190,1089
3,RandomForestRegressor,0.4112047231592163,0.7297181424895913,0.990265112542828,2190,1089
3,ExtraTreesRegressor,0.4206984553844504,0.7202002226745732,0.9905174061462678,2190,1089
5,ExtraTreesRegressor,0.5646321644997714,0.865944805992996,0.9863707086447778,2190,1089
5,MLPRegressor,0.5656651672582297,0.826926678891542,0.9875712669629796,2190,1089
5,RandomForestRegressor,0.5779265053869475,0.9437901004213914,0.9838101178426448,2190,1089
