local_time,command,level,dt_ms,speed,results,reason
2026-05-19 15:38:13,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1675,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:15,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1785,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:17,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1729,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:18,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1665,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:20,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1633,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:22,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1598,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:23,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1658,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:25,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1670,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:27,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1578,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
2026-05-19 15:38:29,V141_SAFETY_STOP_CHAIN,L3_AUTO_OFF_MANUAL_BRAKE_WRITE_FAILED,1630,999.0,"[('L1_brake_release_false', True), ('L1_brake_block_true', True), ('L2_manual_mode_true', False), ('L2_mc_enable_true', True), ('L2_mc_forward_false', True), ('L2_mc_backward_false', True), ('L2_mc_rotate_left_false', True), ('L2_mc_rotate_right_false', True), ('L2_mc_turn_left_false', True), ('L2_mc_turn_right_false', True), ('L2_brake_release_false', True), ('L2_brake_block_true', True), ('L3_auto_mode_false', False), ('L3_manual_mode_true', False), ('L3_mc_enable_true', True), ('L3_mc_forward_false', True), ('L3_mc_backward_false', True), ('L3_mc_rotate_left_false', True), ('L3_mc_rotate_right_false', True), ('L3_mc_turn_left_false', True), ('L3_mc_turn_right_false', True), ('L3_brake_release_false', True), ('L3_brake_block_true', True)]",OP_RADIUS_STOP: virtual scanner REAL-SIM close distance
