local_time,tick_ts,tick_ms,run_id,agent_id,agent_type,x,y,snap_node,edge_u,edge_v,edge_type,tau,status,hold_reason,speed_mps,requested_straight_speed_mps,power_W,battery,hold_remaining_s,current_goal,path,tms_action,tms_conflict_count,emergency_hold,emergency_reason
2026-05-19 15:35:20,1779197720.5124722,1779197720512,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:22,1779197722.163179,1779197722163,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:23,1779197723.822421,1779197723822,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:25,1779197725.508609,1779197725508,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:27,1779197727.193892,1779197727193,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:29,1779197729.0440729,1779197729044,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:30,1779197730.991075,1779197730991,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:32,1779197732.662797,1779197732662,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:34,1779197734.403299,1779197734403,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:36,1779197736.228054,1779197736228,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:38,1779197738.1064188,1779197738106,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:39,1779197739.775579,1779197739775,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:41,1779197741.424164,1779197741424,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:43,1779197743.082803,1779197743082,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:44,1779197744.8216069,1779197744821,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:46,1779197746.5059211,1779197746505,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:48,1779197748.167995,1779197748167,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:50,1779197750.260721,1779197750260,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:52,1779197752.336662,1779197752336,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:54,1779197754.3457978,1779197754345,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:56,1779197756.6890528,1779197756689,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:35:58,1779197758.4136,1779197758413,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,208,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:00,1779197760.514931,1779197760514,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:02,1779197762.316619,1779197762316,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:04,1779197764.0252411,1779197764025,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:05,1779197765.838989,1779197765838,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:07,1779197767.4736052,1779197767473,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:09,1779197769.188001,1779197769188,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:10,1779197770.97332,1779197770973,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:12,1779197772.615316,1779197772615,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:14,1779197774.2653198,1779197774265,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,206,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:16,1779197776.285054,1779197776285,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:18,1779197778.1067462,1779197778106,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:19,1779197779.7983308,1779197779798,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:21,1779197781.796615,1779197781796,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:23,1779197783.483445,1779197783483,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:25,1779197785.182674,1779197785182,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:26,1779197786.906504,1779197786906,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:28,1779197788.584949,1779197788584,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:31,1779197791.552298,1779197791552,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
2026-05-19 15:36:33,1779197793.3353229,1779197793335,,REAL,physical,-4.460999488830566,-0.030834797769784927,6,,,real_live_edge,,IDLE,,0.0,,207,31,,,[],no_real_goal,0,False,clear
