local_time,command,dest,attempt,write_ok,accepted,going_to_id,target_reached,speed,dest_dtype,trigger_dtype,trigger_hold_s,label
2026-05-19 15:50:59,SEND_DEST,4,1,True,True,4,0,0.0,uint32,uint32,1.0,V141 instant resume original goal after operator clear
2026-05-19 15:51:03,SEND_DEST,4,1,True,True,4,0,-0.29907307028770447,uint32,uint32,1.0,V141 instant resume second pulse after operator clear
2026-05-19 15:51:21,SEND_DEST,3,1,True,True,3,0,0.27865272760391235,uint32,uint32,1.0,V99_series_idx2
2026-05-19 15:51:44,SEND_DEST,2,1,True,True,2,0,-0.1820814609527588,uint32,uint32,1.0,V99_series_idx3
2026-05-19 15:51:50,SEND_DEST,2,1,True,True,2,0,-0.2977967858314514,uint32,uint32,1.0,V99_series_auto_resend1_idx3
2026-05-19 15:52:27,SEND_DEST,2,1,True,False,,,0.0,uint32,uint32,1.0,V99_series_auto_resend2_idx3
2026-05-19 15:52:30,SEND_DEST,2,2,True,False,,,0.0,uint32,uint32,1.0,V99_series_auto_resend2_idx3
2026-05-19 15:52:33,SEND_DEST,2,3,True,False,,,0.0,uint32,uint32,1.0,V99_series_auto_resend2_idx3
2026-05-19 15:52:39,SEND_DEST,2,1,True,False,,,0.0,uint32,uint32,1.0,V99_series_auto_resend3_idx3
2026-05-19 15:52:42,SEND_DEST,2,2,True,False,,,0.0,uint32,uint32,1.0,V99_series_auto_resend3_idx3
